Feature,Importance
hsa-miR-4462,-0.5575183510513464
hsa-miR-6769b-5p,-0.10455330325326252
hsa-miR-6857-3p,0.3022077448103279
hsa-miR-548h-5p,-0.17484325943952828
hsa-miR-7846-3p,-0.2818289864600645
hsa-miR-6869-3p,0.23651908800211735
hsa-miR-937-5p,-0.322315577130461
hsa-miR-6895-3p,-0.16056819495146546
hsa-miR-3178,0.3701092940338268
hsa-miR-4439,-0.42718334522260926
hsa-miR-4472,-0.12497461240484163
hsa-miR-139-3p,0.09188093513103467
hsa-miR-4647,0.24449992250521957
hsa-miR-4749-5p,-0.7362421903417851
hsa-miR-3155b,-0.24094048192238646
hsa-miR-4462,0.08702462911605835
hsa-miR-6769b-5p,0.05953133478760719
hsa-miR-6857-3p,0.04104706645011902
hsa-miR-548h-5p,0.0513586662709713
hsa-miR-7846-3p,0.04864363744854927
hsa-miR-6869-3p,0.03610587492585182
hsa-miR-937-5p,0.057236991822719574
hsa-miR-6895-3p,0.05140646547079086
hsa-miR-3178,0.06751755625009537
hsa-miR-4439,0.06900440156459808
hsa-miR-4472,0.06806803494691849
hsa-miR-139-3p,0.053666647523641586
hsa-miR-4647,0.06911952793598175
hsa-miR-4749-5p,0.24026915431022644
