miRNA,Cluster
hsa-miR-1307-3p,1
hsa-miR-1469,1
hsa-miR-320b,5
hsa-miR-4481,3
hsa-miR-4783-3p,1
hsa-miR-504-3p,4
hsa-miR-342-5p,5
hsa-miR-7110-5p,3
hsa-miR-1224-5p,2
hsa-miR-1203,3
hsa-miR-92a-2-5p,3
hsa-miR-4787-3p,1
hsa-miR-6857-5p,3
hsa-miR-646,2
hsa-miR-128-1-5p,3
hsa-miR-6780a-5p,4
hsa-miR-1202,4
hsa-miR-6730-5p,4
hsa-miR-6869-5p,3
hsa-miR-8059,1
hsa-miR-8073,1
hsa-miR-3917,1
hsa-miR-663a,1
hsa-miR-6784-5p,3
hsa-miR-185-3p,5
hsa-miR-5572,4
hsa-miR-4685-3p,4
hsa-miR-4754,5
hsa-miR-6088,1
hsa-miR-4258,2
hsa-miR-4787-5p,3
hsa-miR-4276,3
hsa-miR-4483,5
hsa-miR-6880-3p,2
hsa-miR-3940-5p,3
hsa-miR-575,3
hsa-miR-944,2
hsa-miR-125a-3p,3
hsa-miR-1238-5p,1
hsa-miR-197-5p,1
hsa-miR-6729-5p,3
hsa-miR-3652,5
hsa-miR-941,2
hsa-miR-6076,4
hsa-miR-4489,5
hsa-miR-6746-5p,1
hsa-miR-17-3p,5
hsa-miR-6743-3p,4
hsa-miR-320a,1
hsa-miR-1247-3p,1
hsa-miR-4648,3
hsa-miR-4769-5p,5
hsa-miR-6819-5p,5
hsa-miR-1228-5p,3
hsa-miR-4730,3
hsa-miR-1260b,1
hsa-miR-3184-5p,3
hsa-miR-6787-5p,1
hsa-miR-4472,4
hsa-miR-6765-5p,3
hsa-miR-1290,5
hsa-miR-3181,2
hsa-miR-6756-5p,1
hsa-miR-92b-5p,1
hsa-miR-495-5p,5
hsa-miR-4675,1
hsa-miR-940,2
hsa-miR-4687-5p,1
hsa-miR-4313,2
hsa-miR-6877-5p,5
hsa-miR-3180,3
hsa-miR-6805-3p,2
hsa-miR-4734,1
hsa-miR-4706,1
hsa-miR-6741-5p,5
hsa-miR-1233-5p,1
hsa-miR-4758-5p,1
hsa-miR-320d,5
hsa-miR-5698,4
hsa-miR-1227-3p,2
hsa-miR-6793-5p,5
hsa-miR-4456,2
hsa-miR-1343-3p,1
hsa-miR-614,1
hsa-miR-6131,1
hsa-miR-6776-5p,4
hsa-miR-642b-3p,1
hsa-miR-4532,1
hsa-miR-4732-5p,1
hsa-miR-6805-5p,3
hsa-miR-4419b,1
hsa-miR-6802-5p,1
hsa-miR-1470,2
hsa-miR-4443,4
hsa-miR-8069,3
hsa-miR-6861-5p,1
hsa-miR-1185-2-3p,5
hsa-miR-4440,4
hsa-miR-5100,5
hsa-miR-4690-5p,1
hsa-miR-6769a-5p,1
hsa-miR-516a-5p,2
hsa-miR-31-3p,2
